name,address,city,country,category,lat,lon,rating,user_ratings_total
Sainte-Chapelle,"10 Bd du Palais, 75001 Paris, France",Paris,FR,landmark,48.855375,2.344961,4.6,43407.0
Louvre Museum,"75001 Paris, France",Paris,FR,landmark,48.860611,2.337644,4.7,337618.0
Place Vendôme,"14 Pl. Vendôme, 75001 Paris, France",Paris,FR,landmark,48.86769,2.32973,4.7,608.0
Passage des Panoramas,"11 Bd Montmartre, 75002 Paris, France",Paris,FR,landmark,48.871511,2.341904,4.4,2828.0
Place des Vosges,"Pl. des Vosges, 75004 Paris, France",Paris,FR,landmark,48.855611,2.365527,4.6,29043.0
Porte Saint-Martin,"Bd Saint-Martin, 75003 Paris, France",Paris,FR,landmark,48.869142,2.355667,4.4,82.0
Le Mur des justes,"2-4 All. des Justes de France, 75004 Paris, France",Paris,FR,landmark,48.855026,2.35604,4.7,31.0
Place Dauphine,"Rue Henri Robert, Rue de Harlay, Paris, France",Paris,FR,landmark,48.856687,2.342318,4.8,27.0
Statue of Louis XIV,"Pl. des Victoires, 75001 Paris, France",Paris,FR,landmark,48.865759,2.341196,4.5,596.0
Jardin du Luxembourg,"75006 Paris, France",Paris,FR,landmark,48.846614,2.336331,4.7,113659.0
Atlantes,"76 Av. Daumesnil, 75012 Paris, France",Paris,FR,landmark,48.84445,2.380835,4.5,6.0
Beffroi de l'Église Saint-Germain l'Auxerrois de Paris,"2A Pl. du Louvre, 75001 Paris, France",Paris,FR,landmark,48.859832,2.340955,4.6,102.0
Equestrian Statue of Simón Bolívar,"1910 Port des Champs-Élysées, 75008 Paris, France",Paris,FR,landmark,48.864529,2.314222,4.7,83.0
Buste Hommage à Samuel Champlain,"1 Av. Franklin Delano Roosevelt, 75008 Paris, France",Paris,FR,landmark,48.8651,2.310455,4.1,16.0
Jacques De Molay (Knight Templar) Memorial,"75001 Paris, France",Paris,FR,landmark,48.85721,2.340795,4.3,96.0
Enceinte de Philippe Auguste,"21 Rue des Jardins Saint-Paul, 75004 Paris, France",Paris,FR,landmark,48.853568,2.360334,4.5,24.0
Les Halles de Paris,"101 Rue Berger, 75001 Paris, France",Paris,FR,landmark,48.861687,2.347786,4.3,72.0
Equestrian Statue of Henri IV,"15 Pl. du Pont Neuf, 75001 Paris, France",Paris,FR,landmark,48.857097,2.341142,4.5,258.0
Fontaine du Gros Caillou,"31 Rue de l'Exposition, 75007 Paris, France",Paris,FR,landmark,48.858369,2.3024,4.7,26.0
Narrowest street in Paris,"Rue du Chat Qui Pêche, 75005 Paris, France",Paris,FR,landmark,48.853064,2.346121,3.9,177.0
Grande Arche de la Défense,"1 Parv. de la Défense, 92800 Puteaux, France",Paris,FR,landmark,48.892598,2.236112,4.4,9360.0
Monument of Gaspard de Coligny of Châtillon,"1 Rue de l'Oratoire, 75001 Paris, France",Paris,FR,landmark,48.861455,2.339745,4.4,66.0
KB,"2 Quai Saint-Michel, 75005 Paris, France",Paris,FR,landmark,48.853068,2.346816,4.7,3.0
Old Wall of Paris,"Rue des Jardins Saint-Paul, 75004 Paris, France",Paris,FR,landmark,48.853596,2.360345,4.5,6.0
Passage du Grand Cerf,"145 Rue St Denis, 75002 Paris, France",Paris,FR,landmark,48.864669,2.350091,4.5,502.0
Parvis de l’Hôtel de Ville,"Parvis de l'hôtel de ville, 75004 Paris, France",Paris,FR,landmark,48.856674,2.351609,4.6,528.0
