name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,price_level
"131 rue Saint-Martin, Paris, Fontaine Maubuée, fontaine Maubuée",48.861065,2.351281,1,2.1,22,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments, historic_architecture,architecture,interesting_places,other_buildings_and_structures",fountains,Paris,FR,2
"Deportation Martyrs Memorial, Mémorial des Martyrs de la Déportation",48.851738,2.352366,3,4.6,514,"historic,burial_places,interesting_places,war_memorials",monuments,Paris,FR,1
Fontaine des Innocents,48.860638,2.348023,3,4.1,1742,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",landmark,Paris,FR,1
Sainte-Chapelle,48.855392,2.344994,3,4.8,43407,"religion,churches,cultural,museums,interesting_places,other_museums,catholic_churches",monuments,Paris,FR,1
Jardin Anne Frank,48.861652,2.355053,3,5,1105,"urban_environment,gardens_and_parks,cultural,interesting_places",gardens,Paris,FR,3
"Saint-Julien-le-Pauvre, Square René Viviani, Square René-Viviani, Église Saint-Blaise de Paris",48.852075,2.347261,3,4.8,4450,"religion,churches,interesting_places,catholic_churches, religion,churches,interesting_places,other_churches, urban_environment,gardens_and_parks,cultural,interesting_places","churches, fountains",Paris,FR,2
"Saint-Michel, Théâtre de la Huchette",48.853058,2.345377,3,4.7,1416,"cultural,theatres_and_entertainments,interesting_places,other_theatres, railway_stations,industrial_facilities,architecture,historic_architecture,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures",theatres,Paris,FR,2
"Fontana delle Naiadi, Fountain of the Naiads",41.902714,12.496246,1,2.6,36,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",sculptures,Rome,IT,2
"Obelisco dei Dogali, Obelisk of Dogali",41.902145,12.497461,3,3.2,158,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,Rome,IT,1
"Church of Santa Maria della Vittoria, Cornaro chapel, Ecstasy of Saint Teresa, Fountain of Moses, Santa Maria della Vittoria",41.90463,12.494258,3,4.3,20674,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments, historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments, religion,churches,interesting_places,catholic_churches, religion,churches,interesting_places,other_churches","churches, fountains",Rome,IT,2
"RomeOperaConcerts, Saint Andrew's Presbyterian Church of Scotland",41.903061,12.491675,1,1.8,38,"religion,churches,interesting_places,other_churches",concert hall,Rome,IT,3
