name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,theme,price_level,category_main,category_encoded,theme_encoded,city_encoded,country_encoded,price_per_review,log_user_ratings,log_price_per_review,distance_to_city_center,in_center_dynamic,is_religious,is_entertainment,kind_count,name_length,word_count,theme_popularity,city_category_density,user_ratings_relative
"Budapest Operetta Theatre, Budapest Operetta and Musical Theatre, Mikroszínpad, Petőfi Theatre, Thalia Drama Theater, Thália Theater",47.503718,19.059838,3,4.2,33061,"cultural,theatres_and_entertainments,interesting_places,other_theatres, theatres_and_entertainments,cultural,interesting_places,other_theatres, urban_environment,cultural,theatres_and_entertainments,interesting_places,other_theatres,sculptures",theatres,Budapest,HU,entertainment,2,theatres,29,3.0,7,7,0.0,10.406139865612957,0.0,0.020481703249485735,0,0,1,14,132,16,103.0,3,5.557404605816104
"Mechwart András, Mechwart András szobra",47.511627,19.031967,1,1.8,5,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",public sculpture,Budapest,HU,culture,1,public sculpture,23,1.0,7,7,0.2,1.791759469228055,0.18232155679395465,0.0160066491808822,0,0,0,7,39,5,591.0,5,0.0008404773911581779
"Kazinczy Street Synagogue, Kazynczy Street Synagogue",47.498569,19.062456,3,3.9,517,"religion,synagogues,interesting_places",temples,Budapest,HU,religion,2,temples,28,2.0,7,7,0.0,6.249975242259483,0.0,0.02226605256887947,0,1,0,3,52,6,223.0,1,0.08690536224575558
"Angyal reliefek, Jesus's Heart Church Of Városmajor, Városmajor Church",47.505923,19.021244,3,3.3,1260,"religion,churches,urban_environment,cultural,interesting_places,catholic_churches,sculptures, religion,churches,urban_environment,cultural,interesting_places,installation,catholic_churches",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.0,7.13966033596492,0.0,0.020583937062670903,0,1,0,14,70,9,223.0,13,0.2118003025718608
"Columbo Statue, Statue of Columbo",47.51265,19.048914,2,3.5,1694,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.0,7.43543801981455,0.0,0.017131733595874145,0,0,0,7,33,5,591.0,15,0.28475374012439064
Historical City Wall Exhibition,47.4888,19.059958,1,4.9,26,"historic,archaeology,interesting_places,other_archaeological_sites",walls,Budapest,HU,culture,1,walls,31,1.0,7,7,0.04,3.295836866004329,0.039220713153281295,0.021752897829948707,0,0,0,4,31,4,591.0,1,0.004370482434022525
"Przemyśl Memorial, Przemyśl védőinek emlékműve",47.514259,19.038696,1,2.0,56,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",fortresses,Budapest,HU,culture,2,fortresses,9,1.0,7,7,0.04,4.04305126783455,0.039220713153281295,0.01642799126491231,0,0,0,6,46,5,591.0,1,0.009413346780971592
"Ady Endre, Endre Ady statue",47.504375,19.06258,1,3.6,38,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",public sculpture,Budapest,HU,culture,1,public sculpture,23,1.0,7,7,0.03,3.6635616461296463,0.0295588022415444,0.023297854514957073,0,0,0,7,27,5,591.0,5,0.006387628172802151
"Urania National Film Theater, Uránia National Movie Theater",47.495281,19.065086,3,5.0,3819,"cultural,cinemas,theatres_and_entertainments,interesting_places",cinemas,Budapest,HU,entertainment,2,cinemas,7,3.0,7,7,0.0,8.24800570160062,0.0,0.02502343215868126,0,0,1,4,59,8,103.0,1,0.6419566313666163
"Solti György, Solti György szobra",47.503387,19.064117,1,2.5,23,"historic,monuments_and_memorials,interesting_places,monuments",sculptures,Budapest,HU,culture,2,sculptures,26,1.0,7,7,0.09,3.1780538303479458,0.08617769624105233,0.0245383385338125,0,0,0,4,33,5,591.0,6,0.0038661959993276183
